DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2016,10,2__2_1__1_3,receive,13094896.38,59:46.8,D_MMA
R12_04_LTN,2016,7,2__2_1__1_1__4,receive,13025749,54:56.4,D_MMA
R12_04_LTN,2013,4,1__1_3__3_6__3_3_3,receive,12956774,21:01.7,D_DNS
R12_04_LTN,2013,8,2__2_1__1_3__3,receive,12840000,31:53.2,D_DNS
R12_04_LTN,2016,9,2__2_1__1_1__6,receive,12475000,15:23.9,D_MMA
R12_04_LTN,2016,8,2__2_1__1_1__6,receive,12330000,43:35.4,D_MMA
R12_04_LTN,2014,8,1__1_8__8_1,receive,12324495,25:22.8,D_DNS
R12_04_LTN,2017,6,2__2_1__1_3,receive,12189550,54:05.4,D_EKTW
R12_04_LTN,2017,6,2__2_1__1_3__2_,receive,12189550,54:05.4,D_EKTW
R12_04_LTN,2014,5,2__2_1__1_1__4,receive,12143314,15:32.3,D_DNS
R12_04_LTN,2016,6,1__1_3__3_6__3_3_3,receive,12135122,26:23.7,D_MMA
R12_04_LTN,2014,3,1__1_8__8_1,receive,12103465,24:56.8,D_DNS
R12_04_LTN,2014,7,1__1_8__8_1,receive,11733140,22:28.9,D_DNS
R12_04_LTN,2015,9,2__2_1__1_1__7_,receive,11659013,18:41.2,D_SSM
R12_04_LTN,2015,11,2__2_1__1_3,receive,11235474.5,26:49.5,D_SSM
R12_04_LTN,2015,11,2__2_1__1_3__2_,receive,11235474.5,26:49.5,D_SSM
R12_04_LTN,2015,10,2__2_1__1_1__4,receive,11029091,24:30.7,D_SSM
R12_04_LTN,2014,5,1__1_8__8_1,receive,10939475,15:32.3,D_DNS
R12_04_LTN,2014,6,2__2_1__1_1__7_,receive,10780600,15:51.9,D_DNS
R12_04_LTN,2017,5,2__2_1__1_1__4,receive,10720800,37:44.9,D_MMA
R12_04_LTN,2014,5,1__1_3__3_6__3_3_3,receive,10705436,15:32.3,D_DNS
R12_04_LTN,2014,6,2__2_1__1_3,receive,10636536.78,15:51.9,D_DNS
R12_04_LTN,2016,10,1__1_3__3_6__4,receive,10485055,59:46.8,D_MMA
R12_04_LTN,2017,6,1__1_3__3_6__3_5_,receive,10470000,54:05.4,D_EKTW
R12_04_LTN,2014,4,1__1_8__8_1,receive,10392330,15:12.3,D_DNS
R12_04_LTN,2016,3,1__1_3__3_6__3_5_,receive,10222787,04:04.2,D_SSM
R12_04_LTN,2017,1,1__1_8__8_1,receive,10049705,24:56.2,D_MMA
R12_04_LTN,2014,2,2__2_1__1_1__7,receive,9975000,00:40.2,D_YYS
R12_04_LTN,2014,7,2__2_1__1_1__4,receive,9717056,22:28.9,D_DNS
R12_04_LTN,2013,12,1__1_8__8_1,receive,9695235,35:15.5,D_DNS4
R12_04_LTN,2015,8,1__1_8__8_1,receive,9671915,18:09.1,D_SSM
R12_04_LTN,2016,2,2__2_1__1_4,receive,9544012,28:13.5,D_SSM
R12_04_LTN,2017,2,2__2_1__1_1__3,receive,9400330,04:47.0,D_MMA
R12_04_LTN,2015,1,1__1_3__3_6__4,receive,9292355,38:28.3,D_DNS
R12_04_LTN,2017,2,1__1_3__3_6__3_5_,receive,9191095,04:47.0,D_MMA
R12_04_LTN,2014,1,2__2_1__1_1__6,receive,9150000,14:04.3,D_DNS
R12_04_LTN,2016,10,2__2_1__1_1__6,receive,9100000,59:46.8,D_MMA
R12_04_LTN,2016,7,2__2_1__1_1__7_,receive,9070000,54:56.4,D_MMA
R12_04_LTN,2016,8,2__2_1__1_1__7_,receive,9015000,43:35.4,D_MMA
R12_04_LTN,2014,6,2__2_1__1_3__3,receive,9000000,15:51.9,D_DNS
R12_04_LTN,2015,12,1__1_3__3_6__4,receive,8955929,27:18.2,D_SSM
R12_04_LTN,2015,7,1__1_3__3_6__4,receive,8926859,13:51.7,D_SSM
R12_04_LTN,2014,7,1__1_3__3_6__3_3_3,receive,8782332,22:28.9,D_DNS
R12_04_LTN,2014,2,1__1_8__8_1,receive,8737165,00:40.2,D_YYS
R12_04_LTN,2015,12,1__1_8__8_1,receive,8630965,27:18.2,D_SSM
R12_04_LTN,2017,4,2__2_1__1_1__3,receive,8530800,09:45.8,D_MMA
R12_04_LTN,2015,7,2__2_1__1_1__7_,receive,8502900,13:51.7,D_SSM
R12_04_LTN,2016,6,2__2_1__1_1__7_,receive,8430000,26:23.7,D_MMA
R12_04_LTN,2016,1,2__2_1__1_1__1,receive,8337129.67,27:44.3,D_SSM
R12_04_LTN,2014,11,2__2_1__1_1__7_,receive,8330000,26:18.1,D_DNS
R12_04_LTN,2013,5,2__2_1__1_1__4,receive,8167731,21:17.5,D_DNS
R12_04_LTN,2016,12,2__2_1__1_1__3,receive,8094571,07:48.5,D_MMA
R12_04_LTN,2013,11,2__2_1__1_3,receive,7952726.45,38:07.6,D_DNS
R12_04_LTN,2017,2,1__1_3__3_6__3_4_,receive,7900000,04:47.0,D_MMA
R12_04_LTN,2016,7,1__1_3__3_6__3_16_,receive,7748239,54:56.4,D_MMA
R12_04_LTN,2015,10,2__2_1__1_3,receive,7745741.25,24:30.7,D_SSM
R12_04_LTN,2015,10,2__2_1__1_3__2_,receive,7745741.25,24:30.7,D_SSM
R12_04_LTN,2015,7,2__2_1__1_1__4,receive,7585853,13:51.7,D_SSM
R12_04_LTN,2016,11,1__1_3__3_6__3_5_,receive,7566095,59:41.9,D_MMA
R12_04_LTN,2016,8,1__11__1__1_3,receive,7523732,43:35.4,D_MMA
R12_04_LTN,2015,4,2__2_1__1_1__4,receive,7447360,46:47.4,D_SSM
