DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2014,3,receive,12103465,24:56.8,D_DNS
R12_04_LTN,2014,7,receive,11733140,22:28.9,D_DNS
R12_04_LTN,2015,9,receive,11659013,18:41.2,D_SSM
R12_04_LTN,2015,11,receive,11235474.5,26:49.5,D_SSM
R12_04_LTN,2015,11,receive,11235474.5,26:49.5,D_SSM
R12_04_LTN,2015,10,receive,11029091,24:30.7,D_SSM
R12_04_LTN,2014,5,receive,10939475,15:32.3,D_DNS
R12_04_LTN,2014,6,receive,10780600,15:51.9,D_DNS
R12_04_LTN,2017,5,receive,10720800,37:44.9,D_MMA
R12_04_LTN,2014,5,receive,10705436,15:32.3,D_DNS
R12_04_LTN,2014,6,receive,10636536.78,15:51.9,D_DNS
R12_04_LTN,2016,10,receive,10485055,59:46.8,D_MMA
R12_04_LTN,2017,6,receive,10470000,54:05.4,D_EKTW
R12_04_LTN,2014,4,receive,10392330,15:12.3,D_DNS
R12_04_LTN,2016,3,receive,10222787,04:04.2,D_SSM
R12_04_LTN,2017,1,receive,10049705,24:56.2,D_MMA
R12_04_LTN,2014,2,receive,9975000,00:40.2,D_YYS
R12_04_LTN,2014,7,receive,9717056,22:28.9,D_DNS
R12_04_LTN,2013,12,receive,9695235,35:15.5,D_DNS4
R12_04_LTN,2015,8,receive,9671915,18:09.1,D_SSM
R12_04_LTN,2016,2,receive,9544012,28:13.5,D_SSM
R12_04_LTN,2017,2,receive,9400330,04:47.0,D_MMA
R12_04_LTN,2015,1,receive,9292355,38:28.3,D_DNS
R12_04_LTN,2017,2,receive,9191095,04:47.0,D_MMA
R12_04_LTN,2014,1,receive,9150000,14:04.3,D_DNS
R12_04_LTN,2016,10,receive,9100000,59:46.8,D_MMA
R12_04_LTN,2016,7,receive,9070000,54:56.4,D_MMA
R12_04_LTN,2016,8,receive,9015000,43:35.4,D_MMA
R12_04_LTN,2014,6,receive,9000000,15:51.9,D_DNS
R12_04_LTN,2015,12,receive,8955929,27:18.2,D_SSM
R12_04_LTN,2015,7,receive,8926859,13:51.7,D_SSM
R12_04_LTN,2014,7,receive,8782332,22:28.9,D_DNS
R12_04_LTN,2014,2,receive,8737165,00:40.2,D_YYS
R12_04_LTN,2015,12,receive,8630965,27:18.2,D_SSM
R12_04_LTN,2017,4,receive,8530800,09:45.8,D_MMA
R12_04_LTN,2015,7,receive,8502900,13:51.7,D_SSM
R12_04_LTN,2016,6,receive,8430000,26:23.7,D_MMA
R12_04_LTN,2016,1,receive,8337129.67,27:44.3,D_SSM
R12_04_LTN,2014,11,receive,8330000,26:18.1,D_DNS
R12_04_LTN,2013,5,receive,8167731,21:17.5,D_DNS
R12_04_LTN,2016,12,receive,8094571,07:48.5,D_MMA
R12_04_LTN,2013,11,receive,7952726.45,38:07.6,D_DNS
R12_04_LTN,2017,2,receive,7900000,04:47.0,D_MMA
R12_04_LTN,2016,7,receive,7748239,54:56.4,D_MMA
R12_04_LTN,2015,10,receive,7745741.25,24:30.7,D_SSM
R12_04_LTN,2015,10,receive,7745741.25,24:30.7,D_SSM
R12_04_LTN,2015,7,receive,7585853,13:51.7,D_SSM
R12_04_LTN,2016,11,receive,7566095,59:41.9,D_MMA
R12_04_LTN,2016,8,receive,7523732,43:35.4,D_MMA
R12_04_LTN,2015,4,receive,7447360,46:47.4,D_SSM
R12_04_LTN,2017,2,receive,7440000,04:47.0,D_MMA
R12_04_LTN,2017,5,receive,7400000,37:44.9,D_MMA
R12_04_LTN,2013,9,receive,7368995.88,37:22.8,D_DNS
R12_04_LTN,2014,8,receive,7349915,25:22.8,D_DNS
R12_04_LTN,2014,12,receive,7334145,01:22.6,D_DNS
R12_04_LTN,2015,6,receive,7279960,11:07.3,D_SSM
R12_04_LTN,2015,6,receive,7279960,11:07.3,D_SSM
R12_04_LTN,2014,3,receive,7279608,24:56.8,D_DNS
R12_04_LTN,2015,7,receive,7250476,13:51.7,D_SSM
R12_04_LTN,2015,3,receive,7218676,32:10.3,D_DNS
R12_04_LTN,2015,1,receive,7175571,38:28.3,D_DNS
R12_04_LTN,2017,3,receive,7131323,40:54.9,D_MMA
